MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes
Sant Sadurní d'Anoia,1440,1838,1454,0,487,1420,6639
Sant Sadurní d'Osormort,0,10,0,0,0,45,55
Sant Salvador de Guardiola,361,0,706,0,0,492,1559
Sant Vicenç de Castellet,740,1580,1391,0,0,351,4062
Sant Vicenç de Montalt,730,316,0,239,196,1684,3165
Sant Vicenç de Torelló,0,0,0,0,0,1188,1188
Sant Vicenç dels Horts,0,0,0,1512,242,11056,12810
Santa Bàrbara,211,373,582,0,346,293,1805
Santa Cecília de Voltregà,0,0,0,0,0,136,136
Santa Coloma de Cervelló,584,0,0,320,66,2961,3931
Santa Coloma de Farners,619,1659,0,0,0,3029,5307
Santa Coloma de Gramenet,22913,4460,0,6349,1918,9143,44783
Santa Coloma de Queralt,0,492,0,0,0,956,1448
Santa Cristina d'Aro,0,769,0,139,86,1290,2284
Santa Eugènia de Berga,0,0,0,0,23,1253,1276
Santa Eulàlia de Riuprimer,0,0,0,0,0,510,510
Santa Eulàlia de Ronçana,0,559,170,279,0,2487,3495
Santa Fe del Penedès,0,0,124,0,0,124,248
Santa Llogaia d'Àlguema,0,0,0,0,0,128,128
Santa Margarida de Montbui,1919,507,0,198,48,2036,4708
Santa Margarida i els Monjos,1628,1050,0,188,0,476,3342
Santa Maria d'Oló,0,0,0,0,0,484,484
Santa Maria de Besora,0,0,0,0,0,117,117
Santa Maria de Martorelles,0,174,123,0,0,203,500
Santa Maria de Merlès,0,0,0,0,0,47,47
Santa Maria de Miralles,0,0,38,0,0,51,89
Santa Maria de Palautordera,667,0,2579,0,0,1458,4704
Santa Oliva,570,491,64,168,72,280,1645
Santa Pau,0,0,0,0,0,989,989
Santa Perpètua de Mogoda,1741,0,0,1427,261,7604,11033
Santa Susanna,104,0,0,153,0,1393,1650
Santpedor,0,1580,846,0,0,1478,3904
Sarral,0,0,325,0,0,504,829
Sarrià de Ter,521,1141,0,203,0,758,2623
Sarroca de Bellera,0,0,0,0,0,103,103
Sarroca de Lleida,0,0,0,0,0,257,257
"Saus, Camallera i Llampaies",0,0,258,0,0,223,481
Savallà del Comtat,0,0,23,0,0,20,43
Secuita,0,640,0,0,97,0,737
Selva de Mar,2,25,102,0,0,0,129
Selva del Camp,0,614,1013,0,0,1465,3092
Senan,0,0,0,0,0,24,24
Senterada,0,18,0,0,0,114,132
Sentiu de Sió,0,0,0,0,0,281,281
Sentmenat,905,639,785,189,110,1766,4394
Serinyà,0,0,0,0,0,539,539
Serra de Daró,0,47,0,0,0,98,145
Seròs,0,418,0,0,22,470,910
Setcases,0,48,0,0,0,109,157
Seu d'Urgell,0,1192,0,126,167,4064,5549
Seva,0,1094,0,0,0,830,1924
Sidamon,0,78,328,0,0,0,406
Sils,178,0,0,132,73,2237,2620
