MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Begues,352,648,0,331,68,2276,3675,41.3328119,1.925468
Begur,214,0,0,51,0,1759,2024,41.9541918,3.2088349
Belianes,0,0,0,0,0,244,244,41.5608943,1.0165748
Bell-lloc d'Urgell,0,0,646,0,62,556,1264,41.6306236,0.7785425
Bellaguarda,0,0,0,0,0,226,226,41.3372673,0.7361281
Bellcaire d'Empordà,0,0,0,0,0,401,401,42.0810857,3.0944347
Bellcaire d'Urgell,0,0,188,0,0,595,783,41.7589072,0.904537
Bellmunt d'Urgell,0,0,81,0,0,45,126,41.7741855,0.9519865
Bellmunt del Priorat,0,0,138,0,0,0,138,41.1632384,0.7661468
Bellprat,0,0,0,0,0,43,43,41.5174829,1.4335846
Bellpuig,0,0,0,0,0,2168,2168,41.6254383,1.0117111
Bellvei,275,0,302,132,0,334,1043,41.2390234,1.5780273
Bellver de Cerdanya,0,194,0,0,0,839,1033,42.3702061,1.7745202
Bellvís,0,0,331,0,0,847,1178,41.6721394,0.8176989
Benavent de Segrià,0,225,0,0,47,526,798,41.6957038,0.6327181
Benifallet,0,168,0,0,0,360,528,40.9740568,0.5172791
Benissanet,0,0,0,0,0,436,436,41.0572357,0.6342959
Berga,745,948,0,90,252,6082,8117,42.1011456,1.8454758
Besalú,0,0,0,0,0,1285,1285,42.1986443,2.6959559
Bescanó,0,1116,0,0,0,1582,2698,41.9670349,2.7389937
Beuda,0,57,0,0,0,150,207,42.2372601,2.7097379
Bigues i Riells del Fai,0,0,229,355,100,3646,4330,41.6829679,2.2083886
Biosca,0,0,96,0,0,4,100,41.8419229,1.3579097
Bisbal d'Empordà,0,1513,0,0,0,2929,4442,41.9598687,3.039616
Bisbal de Montsant,3,0,103,0,0,25,131,41.2798965,0.722297
Bisbal del Penedès,281,179,0,0,0,1243,1703,41.2778415,1.4905591
Biure,0,0,6,0,0,123,129,42.3380996,2.8949823
Blancafort,0,215,0,0,0,0,215,41.4388964,1.1593801
Blanes,3249,3268,0,2017,561,6903,15998,41.6756178,2.7932391
Boadella i les Escaules,0,107,63,0,0,7,177,42.3305346,2.8572023
Bolvir,0,0,0,0,0,258,258,42.417885,1.8798183
Bonastre,0,107,0,0,0,231,338,41.2211883,1.4400593
Bordils,0,87,0,0,0,736,823,42.0440682,2.9116018
Borges Blanques,0,0,0,85,53,2829,2967,41.575779,2.0397169
Borges del Camp,123,442,553,0,0,0,1118,41.1360773,1.1184429
Borrassà,0,0,307,0,0,0,307,42.2224982,2.9268828
Borredà,0,0,0,0,0,315,315,42.1355536,1.9941054
Bossòst,0,0,0,0,0,611,611,42.7859893,0.69312
Bot,0,0,142,0,0,237,379,41.0094492,0.385667
Botarell,145,383,0,0,0,36,564,41.1362847,0.9897786
Bovera,0,0,0,0,0,172,172,41.3269404,0.6386632
Breda,213,1376,0,0,0,492,2081,41.7484044,2.5613326
Bruc,0,0,300,0,0,709,1009,41.6944047,2.5000814
Brull,0,0,0,0,0,111,111,41.8168099,2.3052283
Brunyola i Sant Martí Sapresa,0,0,0,0,0,255,255,41.9049114,2.6839536
Bràfim,0,0,0,0,0,412,412,41.2687867,1.341243
Bàscara,0,345,193,0,0,0,538,42.1591723,2.9092786
Bòrdes,0,0,0,0,0,151,151,42.7375291,0.7200281
Cabacés,0,0,0,0,0,167,167,41.2470037,0.7331063
Cabanabona,0,0,30,0,0,17,47,41.8516398,1.2165622
Cabanelles,0,0,0,0,0,82,82,42.2302177,2.8187019
Cabanes,0,0,297,0,0,219,516,42.3087348,2.9764243
Cabanyes,0,0,339,0,0,190,529,41.8538163,3.0496189
Cabra del Camp,0,0,257,0,0,326,583,41.3952451,1.2772435
Cabrera d'Anoia,269,0,41,98,0,289,697,41.4773537,1.7041083
Cabrera de Mar,233,482,0,163,0,1731,2609,41.5276986,2.3925117
Cabrils,339,1237,743,392,0,816,3527,41.5262354,2.3676258
Cabó,0,25,0,0,7,63,95,42.2391689,1.2469615
Cadaqués,0,141,374,0,0,731,1246,42.2893484,3.2752159
Calaf,0,0,0,0,0,1681,1681,41.7323852,1.5150275
Calafell,3659,1449,0,968,670,3450,10196,41.2014639,1.5680321
Calders,0,0,0,0,0,593,593,41.7892144,1.9916386
Caldes d'Estrac,295,565,273,79,0,134,1346,41.5719788,2.5277607
Caldes de Malavella,436,664,0,252,0,2098,3450,41.839282,2.8097485
Caldes de Montbui,1378,4113,888,0,543,1364,8286,41.632265,2.1676442
Calella,1068,1860,0,510,334,4357,8129,41.6132925,2.6576102
Calldetenes,0,0,0,0,0,1360,1360,41.9257651,2.2834318
Callús,0,696,305,0,0,0,1001,41.7824664,1.7837664
Calonge de Segarra,0,0,95,0,0,43,138,41.7642502,1.4820028
Calonge i Sant Antoni,697,1145,0,0,268,2361,4471,41.8621762,3.0660825
Camarasa,0,0,221,0,0,323,544,41.8756649,0.8778945
Camarles,0,732,548,0,0,422,1702,40.7735425,0.6738724
Cambrils,1883,2841,1660,1918,854,4219,13375,41.0679423,1.0657579
Campdevànol,92,591,0,0,0,1048,1731,42.2230582,2.1680717
Campelles,0,60,0,0,0,35,95,42.2946353,2.1405635
Campins,0,145,91,0,0,65,301,41.7250261,2.4640701
Campllong,0,129,0,0,0,176,305,41.8948831,2.8309625
Camprodon,0,0,0,0,0,1255,1255,42.3127896,2.364926
Camós,0,0,0,0,0,447,447,42.0939665,2.7673592
Canejan,0,0,0,0,0,78,78,42.8382496,0.7399836
Canet d'Adri,0,0,0,0,0,441,441,42.0332009,2.7377666
Canet de Mar,867,1556,462,282,326,3476,6969,41.5900933,2.5777998
Canonja,1734,189,199,229,121,285,2757,41.120408,1.1820704
Canovelles,3403,754,0,448,240,1206,6051,41.6173948,2.28288
Cantallops,12,135,0,0,0,0,147,42.4235685,2.9248575
Canyelles,0,146,1576,143,29,300,2194,41.2858273,1.7222743
Capafonts,0,0,0,0,0,93,93,41.2948795,1.0269673
Capellades,414,902,0,297,0,1169,2782,41.53,1.684787
Capmany,12,0,231,0,0,0,243,42.3725028,2.9209753
Capolat,0,0,0,0,0,59,59,42.0776191,1.752867
Capçanes,0,0,0,0,0,184,184,41.1003901,0.7810956
Cardedeu,1542,3176,887,528,242,2671,9046,41.6385167,2.3558408
Cardona,614,1442,504,146,0,0,2706,41.9142758,1.68133
Carme,0,0,0,0,0,351,351,41.5319058,1.6198579
Caseres,0,0,0,0,0,136,136,41.0394845,0.2512487
Casserres,0,0,0,0,0,746,746,42.0138199,1.843045
Cassà de la Selva,478,2139,0,0,0,2136,4753,41.8874685,2.8742461
"Castell d'Aro, Platja d'Aro i s'Agaró",935,698,0,248,142,1877,3900,41.8151092,3.0310571
Castell de Mur,0,54,0,0,0,111,165,42.1209291,0.796629
Castell de l'Areny,0,0,45,0,0,0,45,42.1732169,1.9454439
Castellar de la Ribera,0,0,44,0,0,44,88,42.022662,1.4161208
Castellar de n'Hug,0,37,0,0,0,66,103,42.2826009,2.0165927
Castellar del Riu,0,54,0,0,0,57,111,42.1273226,1.7549529
Castellar del Vallès,0,2771,1307,731,265,7243,12317,41.6138122,2.0875963
Castellbell i el Vilar,943,499,354,0,27,0,1823,41.6402768,1.8472035
Castellbisbal,1737,701,0,587,0,2992,6017,41.4765136,1.9832978
Castellcir,0,0,0,0,0,312,312,41.7615048,2.1507238
Castelldans,0,0,0,0,62,458,520,41.4980663,0.7663389
Castelldefels,5430,4290,1525,1777,7904,5847,26773,41.2861022,1.9824173
Castellet i la Gornal,456,298,239,132,0,0,1125,41.2532183,1.5917346
Castellfollit de Riubregós,0,0,74,0,0,38,112,41.7762237,1.4383714
