MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Marganell,0,0,114,0,0,70,184,41.640666,1.7900194
Martorell,1859,1084,5958,828,307,1717,11753,41.4769177,1.9283971
Martorelles,0,1320,79,165,0,839,2403,41.52851,2.2374755
Marçà,0,0,268,0,0,0,268,41.1281164,0.8021678
Mas de Barberans,0,71,0,0,0,275,346,40.7345687,0.3742211
Masarac i Vilarnadal,0,0,147,0,0,6,153,42.3509939,2.9723618
Masdenverge,44,228,355,0,0,0,627,40.7150044,0.5311135
Masies de Roda,0,0,0,0,0,421,421,41.9895262,2.3076733
Masies de Voltregà,0,0,0,0,0,1794,1794,42.0267288,2.2347147
Masllorenç,0,0,116,0,0,194,310,41.270168,1.4144917
Masnou,1528,0,0,1207,366,8794,11895,42.0021068,1.4766988
Maspujols,0,0,259,0,0,204,463,41.1817965,1.0457853
Masquefa,1135,763,1726,386,81,295,4386,41.5026351,1.8110722
Masroig,0,0,78,0,0,226,304,41.1256089,0.7312995
Massalcoreig,0,229,0,0,0,0,229,41.4591786,0.3596468
Massanes,0,0,0,0,0,402,402,41.7654696,2.6528719
Massoteres,0,37,81,0,0,4,122,41.7970722,1.3103274
Masó,0,0,141,0,0,0,141,41.2226045,1.7189708
Matadepera,240,939,2578,295,213,557,4822,41.6012311,2.0275199
Mataró,21542,0,3633,3413,2109,24664,55361,41.5398348,2.4448926
Maçanet de Cabrenys,25,0,0,0,0,294,319,42.3861179,2.7485579
Maçanet de la Selva,301,616,0,162,0,1917,2996,41.7774422,2.7309252
Mediona,0,0,163,0,0,940,1103,41.4773943,1.6350185
Menàrguens,0,0,0,0,0,471,471,41.7300771,0.7438658
Meranges,0,0,0,0,12,51,63,42.4460663,1.7870102
Mieres,64,0,0,0,0,147,211,42.1244124,2.6401122
Milà,0,0,75,0,0,57,132,41.3953996,2.1617621
Miralcamp,0,0,313,0,0,471,784,41.6049685,0.8801705
Miravet,0,0,0,0,0,447,447,41.0379498,0.5976192
Moià,283,0,0,0,0,2607,2890,41.8130391,2.0978412
Molar,0,0,67,0,0,138,205,41.1629799,0.7058078
Molins de Rei,4077,2120,0,696,263,6488,13644,41.4138087,2.0159626
Mollerussa,722,1369,0,148,299,2852,5390,41.6298226,0.8937727
Mollet de Peralada,13,0,90,0,0,33,136,42.3595501,2.9999085
Mollet del Vallès,7921,0,1142,2135,970,10425,22593,41.5393484,2.2130934
Molló,0,0,0,0,0,173,173,42.3485369,2.4043962
Molsosa,4,0,0,0,0,58,62,41.7857191,1.5443377
Monistrol de Calders,0,0,0,0,0,454,454,41.7608379,2.0146236
Monistrol de Montserrat,195,521,0,0,133,599,1448,41.6105028,1.8452698
Mont-ral,10,0,0,0,0,95,105,41.2871207,1.0980821
Mont-ras,101,0,0,0,0,839,940,41.9080196,3.144796
Mont-roig del Camp,1609,0,879,457,160,1660,4765,41.0846728,0.9613021
Montagut i Oix,0,0,0,0,0,412,412,42.2309257,2.5967415
Montblanc,371,0,0,0,0,3135,3506,41.3762309,1.1620703
Montbrió del Camp,68,0,294,0,0,902,1264,41.1200937,1.0057341
Montcada i Reixac,3348,2966,723,1587,563,5969,15156,41.4823115,2.1869985
Montclar,0,0,0,0,0,68,68,42.018173,1.7653302
Montellà i Martinet,0,0,0,0,0,305,305,42.3229253,1.6931213
Montesquiu,0,195,0,0,0,352,547,42.108728,2.2086111
Montferrer i Castellbò,0,104,0,0,0,446,550,42.3957216,1.3376396
Montferri,0,0,119,0,0,0,119,41.2655697,1.3666818
Montgai,0,0,0,0,0,475,475,41.7999989,0.961434
Montgat,964,1530,877,557,113,1666,5707,41.4666983,2.2789654
Montmajor,0,0,0,0,0,282,282,42.0180704,1.735819
Montmaneu,0,0,0,0,0,107,107,41.6259778,1.4147627
Montmell,222,47,59,0,0,402,730,41.3151419,1.4535016
Montmeló,1867,412,0,141,136,2196,4752,41.5515189,2.2480812
Montoliu de Lleida,0,0,0,0,11,280,291,41.5601373,0.5889379
Montoliu de Segarra,0,0,44,0,0,67,111,41.5900878,1.2698212
Montornès de Segarra,37,0,0,0,0,46,83,41.6009305,1.230309
Montornès del Vallès,1581,0,363,609,477,4256,7286,41.542545,2.2670557
Montseny,0,127,0,0,0,115,242,41.7593697,2.3952061
Morell,170,0,588,219,16,795,1788,41.1923512,1.2071006
Morera de Montsant,4,51,35,0,0,35,125,41.2627531,0.8422556
Muntanyola,0,0,0,0,0,369,369,41.8769342,2.1790836
Mura,0,50,0,0,0,131,181,41.6998219,1.9764684
Móra d'Ebre,316,440,1223,86,134,509,2708,41.0893373,0.6412887
Móra la Nova,297,846,407,0,0,0,1550,41.1005287,0.6517231
Nalec,0,0,0,0,0,69,69,41.5601757,1.1151553
Naut Aran,0,0,0,0,0,1018,1018,42.7016601,0.9131665
Navarcles,667,0,0,0,105,2409,3181,41.7531567,1.9033612
Navata,40,0,0,0,0,654,694,42.2248425,2.8584815
Navàs,580,1167,0,0,0,1447,3194,41.8989233,1.8767736
Navès,0,0,134,0,0,0,134,41.9911068,1.639612
Nou de Berguedà,0,0,0,0,0,75,75,42.1666467,1.8850367
Nou de Gaià,0,0,0,0,0,322,322,41.948992,1.9136032
Nulles,0,0,216,0,0,0,216,41.2492881,1.2957338
Odèn,0,0,80,0,0,124,204,42.1288886,1.4503494
Ogassa,0,0,0,0,0,152,152,42.2656267,2.2777794
Olesa de Bonesvalls,292,234,61,94,0,220,901,41.3505032,1.8492996
Olesa de Montserrat,1986,1617,0,1227,242,5442,10514,41.543053,1.8931874
Oliana,0,0,0,0,0,1068,1068,42.0671629,1.3149416
Oliola,0,0,0,0,0,137,137,41.8758085,1.1737519
Olius,0,91,237,0,0,202,530,41.9943322,1.5697161
Olivella,648,211,178,93,42,323,1495,41.3103129,1.8114946
Olost,0,0,0,0,0,535,535,41.9851518,2.0941372
Olot,1761,3337,0,590,0,9676,15364,42.1822177,2.4890211
Oluges,0,0,36,0,0,61,97,41.6967254,1.3200824
Olvan,32,186,0,0,0,326,544,42.0571091,1.9064046
Olèrdola,0,378,357,0,0,1140,1875,41.3214217,1.7234463
Omellons,0,0,50,0,0,96,146,41.502237,0.9618227
Omells de na Gaia,0,0,0,0,0,65,65,41.5003209,1.0749613
Ordis,0,168,0,0,0,0,168,42.2185591,2.9072143
Organyà,0,126,0,0,0,378,504,42.2107781,1.327822
Oristà,0,0,0,0,0,284,284,41.9327257,2.0599756
Orpí,0,0,48,0,0,54,102,41.5185604,1.5755145
Orís,0,0,0,0,0,227,227,42.065576,2.2122605
Os de Balaguer,0,0,0,0,0,429,429,41.8713099,0.7193399
Osor,33,0,0,0,0,190,223,41.9451025,2.5569285
Ossó de Sió,0,0,0,0,0,135,135,41.7548359,1.1592516
Pacs del Penedès,0,168,327,0,0,0,495,41.3615067,1.6698611
Palafolls,1503,1850,198,237,61,583,4432,41.6673913,2.7499262
Palafrugell,2631,2510,0,527,168,2848,8684,41.9183618,3.1619905
Palamós,1442,3880,0,473,247,1871,7913,41.8495354,3.1278785
Palau d'Anglesola,0,0,0,0,0,1238,1238,41.6565509,0.8782093
Palau de Santa Eulàlia,0,36,10,0,0,14,60,42.1734468,2.9646635
Palau-sator,0,140,0,0,0,0,140,41.9897891,3.1103856
Palau-saverdera,0,0,188,0,0,501,689,42.3076083,3.146611
Palau-solità i Plegamans,1853,1947,0,884,0,2425,7109,41.5873942,2.1806823
Pallaresos,0,272,0,286,102,1585,2245,41.1751622,1.2754982
Pallejà,1123,1083,0,381,0,3342,5929,41.422188,1.9966632
Palma d'Ebre,0,0,163,0,0,80,243,41.2833974,0.6656065
Palma de Cervelló,165,217,0,95,10,1168,1655,41.4018642,1.9605647
Palol de Revardit,0,0,0,0,0,266,266,42.0694953,2.7958985
Pals,257,0,0,0,0,946,1203,41.9709891,3.1460371
Papiol,0,687,0,0,0,1304,1991,41.4379916,2.0108896
Pardines,0,0,0,0,0,72,72,42.312731,2.2139864
Parets del Vallès,3398,2295,0,775,238,2409,9115,41.5729887,2.2329289
Parlavà,0,231,0,0,0,0,231,42.022591,3.0304741
Passanant i Belltall,12,0,0,0,0,127,139,41.5319348,1.19646
Pau,0,0,0,7,0,310,317,42.3161009,3.1161931
Paüls,46,0,0,0,0,324,370,40.9221798,0.399879
Pedret i Marzà,0,0,48,0,0,68,116,42.3078129,3.0706399
Penelles,0,0,0,0,0,258,258,41.7585402,0.9652356
Pera,0,0,0,0,0,219,219,42.283914,2.4938967
Perafita,0,0,0,0,0,239,239,42.0423757,2.107122
Perafort,134,113,338,67,10,63,725,41.1914523,1.2564332
Peralada,0,0,663,0,0,248,911,42.3085047,3.0089916
Peramola,0,0,0,0,0,203,203,42.0577991,1.2678488
Perelló,0,841,465,0,0,0,1306,40.8754052,0.7123762
Piera,1493,1783,1342,641,340,959,6558,41.5216923,1.7526335
Piles,0,0,0,0,0,83,83,41.5036851,1.3426056
Pineda de Mar,5587,0,0,607,536,5377,12107,41.6276807,2.6898707
Pinell de Brai,0,82,225,0,0,397,704,40.9981776,0.4720555
Pinell de Solsonès,1,0,52,0,0,92,145,41.9708511,1.3998691
Pinós,0,0,135,0,0,39,174,41.8274504,1.5426078
Pira,0,0,0,0,0,222,222,41.4236202,1.2031023
Pla de Santa Maria,0,199,837,0,0,242,1278,41.7764438,0.8238372
Pla del Penedès,0,270,309,0,0,103,682,41.4176191,1.7113804
Planes d'Hostoles,0,0,0,0,0,702,702,42.0565983,2.5384283
Planoles,0,0,0,0,0,190,190,42.3148273,2.1029743
Plans de Sió,0,227,65,0,0,0,292,41.7129323,1.2204653
Poal,0,0,241,0,0,143,384,41.7508562,1.8314874
Pobla de Claramunt,140,176,444,0,0,414,1174,41.5545592,1.6779739
Pobla de Cérvoles,0,48,0,0,3,80,131,41.3701499,0.9184567
Pobla de Lillet,0,440,0,0,0,286,726,42.2404906,1.9655559
Pobla de Mafumet,224,212,0,95,17,1314,1862,41.1865974,1.2082805
Pobla de Massaluca,0,0,156,0,0,0,156,41.1821736,0.3538733
Pobla de Montornès,0,429,0,0,102,753,1284,41.1784822,1.4142074
Pobla de Segur,372,898,0,0,0,247,1517,42.2401756,0.9660326
Poboleda,0,161,45,0,0,0,206,41.233358,0.844888
Polinyà,2363,530,0,228,110,640,3871,41.5576041,2.1566544
Pont d'Armentera,0,0,163,0,0,125,288,41.3845526,1.3609804
Pont de Bar,0,31,0,0,0,87,118,42.3792894,1.6117658
Pont de Molins,6,63,0,0,0,281,350,42.3148493,2.9304359
Pont de Suert,0,0,0,0,49,1073,1122,42.4079576,0.7401693
Pont de Vilomara i Rocafort,825,733,0,259,0,242,2059,41.7008286,1.8691118
Pontils,0,0,54,0,0,27,81,41.4774835,1.3884066
Pontons,0,0,86,0,167,55,308,41.4155898,1.516296
Ponts,0,565,0,0,0,750,1315,41.9154944,1.1863072
Pontós,0,0,78,0,0,113,191,42.1858949,2.9172363
Porqueres,0,0,0,0,0,2523,2523,42.1226823,2.7254945
Porrera,15,0,242,0,0,0,257,41.1889652,0.8560917
Port de la Selva,0,0,359,0,0,168,527,41.7411052,2.8255994
Portbou,0,0,0,0,0,533,533,42.4274333,3.1588785
Portella,0,0,0,0,0,376,376,41.7388399,0.6395895
Pradell de la Teixeta,0,0,72,0,0,0,72,41.1566981,0.8759861
Prades,0,0,0,0,0,340,340,41.3096688,0.9873776
Prat de Comte,14,0,95,0,0,0,109,40.9829428,0.4057612
Prat de Llobregat,6310,3347,1435,2893,1343,14215,29543,41.3140154,2.1327337
Pratdip,0,0,0,0,0,464,464,41.0515188,0.8716047
Prats de Lluçanès,0,504,0,0,0,1105,1609,42.0085421,2.0298689
Prats de Rei,0,0,0,0,0,266,266,41.7087424,1.5392472
Prats i Sansor,0,0,0,0,0,112,112,42.3654525,1.8372016
Preixana,0,0,0,0,0,191,191,41.6069897,1.0386967
Preixens,0,0,0,0,0,257,257,41.7948485,1.0509201
Premià de Dalt,685,733,2311,476,182,649,5036,41.5076668,2.3437394
Premià de Mar,1753,0,0,1498,330,9484,13065,41.4926822,2.3605846
Preses,0,0,0,0,0,1017,1017,42.1450901,2.4592158
Prullans,0,50,0,0,0,109,159,42.3803293,1.7364774
Puig-reig,0,0,0,0,0,2145,2145,41.9735499,1.8775308
Puigcerdà,0,955,0,0,278,2348,3581,42.4317966,1.9278693
Puigdàlber,0,129,177,0,0,0,306,41.4045506,1.700349
Puiggròs,0,0,0,0,0,152,152,41.5510407,0.8890694
Puigpelat,0,0,376,0,0,217,593,41.2798081,1.2970011
Puigverd d'Agramunt,0,0,0,0,0,173,173,41.7780434,1.1215633
Puigverd de Lleida,0,0,0,0,25,775,800,41.5436104,0.7334031
Pujalt,0,0,0,0,0,125,125,41.7169947,1.4211325
Quar,0,29,0,0,0,0,29,42.1050263,1.9807775
Quart,365,477,0,0,0,1231,2073,41.9401591,2.8413516
Queralbs,0,38,0,0,0,139,177,42.3495722,2.1632838
Querol,41,0,0,0,0,253,294,41.4234071,1.3970189
Rabós,0,44,94,0,0,6,144,42.3787458,3.0283472
Rajadell,37,115,214,0,0,0,366,41.7291916,1.7056275
Rasquera,0,182,155,0,0,158,495,41.003625,0.5988478
Regencós,0,95,0,0,0,72,167,41.9523563,3.1687852
Rellinars,24,106,0,0,0,328,458,41.6367945,1.910447
Renau,0,0,0,0,0,93,93,41.2249813,1.3113308
Reus,7329,7434,0,4624,2046,21623,43056,41.1555564,1.1076133
Rialp,0,0,0,0,0,393,393,42.4430046,1.1354914
Riba,0,0,287,0,0,0,287,41.3169975,1.1771329
Riba-roja d'Ebre,0,0,0,0,0,650,650,41.2514635,0.4855561
Ribera d'Ondara,0,0,179,0,0,125,304,41.634037,1.3288471
Ribera d'Urgellet,0,108,0,0,0,358,466,42.2861046,1.4187688
Ribes de Freser,0,0,0,0,0,974,974,42.3057283,2.167817
Riells i Viabrea,368,0,0,0,59,1632,2059,41.7764308,2.5129067
Riera de Gaià,85,0,0,0,0,822,907,41.893979,1.8969608
Riner,0,0,0,0,0,176,176,41.9416574,1.5636188
Ripoll,838,936,0,0,0,3436,5210,42.1982391,2.1932496
Ripollet,4243,0,0,2013,650,9433,16339,41.4993372,2.1573095
Riu de Cerdanya,0,0,0,0,0,79,79,42.3451931,1.8261265
Riudarenes,0,0,0,0,0,1059,1059,41.8218536,2.7163817
Riudaura,0,0,0,0,0,268,268,42.1887348,2.4093804
Riudecanyes,0,312,0,30,0,278,620,41.1303686,0.9618942
Riudecols,0,494,0,0,0,172,666,41.1680845,0.9746249
Riudellots de la Selva,0,524,0,0,0,595,1119,41.8954981,2.8022296
Riudoms,281,918,1628,0,0,398,3225,41.1390915,1.0519702
Riumors,0,0,0,0,0,92,92,42.2269331,3.0420591
Roca del Vallès,957,1815,1345,520,115,438,5190,41.5914023,2.328068
Rocafort de Queralt,0,124,0,0,0,0,124,41.4784492,1.2813851
Roda de Berà,573,336,177,281,221,1358,2946,41.1857961,1.4569904
Roda de Ter,0,0,0,0,0,3057,3057,41.9814126,2.3096755
Rodonyà,0,65,204,0,0,0,269,41.2826844,1.3990724
Roquetes,0,1617,521,287,0,1090,3515,40.8203657,0.50343
Roses,1209,1462,0,783,445,2862,6761,42.2632018,3.1755328
Rosselló,0,210,0,88,11,1090,1399,41.694083,0.5962386
Rourell,0,0,177,0,13,0,190,41.223574,1.2183923
Rubió,0,0,87,0,0,68,155,41.6442397,1.5701167
Rubí,10492,7232,0,3301,1171,9439,31635,41.4936194,2.0319476
Rupit i Pruit,0,0,0,0,0,164,164,42.024334,2.4653919
Rupià,0,0,0,0,0,132,132,42.0207872,3.0105902
Ràpita,731,3279,0,181,0,2503,6694,40.6178149,0.5900091
Sabadell,28808,19284,9005,9865,2811,26216,95989,41.5421013,2.1138977
Sagàs,0,0,0,0,0,59,59,42.0510214,1.9626051
Saldes,0,0,0,0,0,145,145,42.2287591,1.7349486
Sales de Llierca,0,0,0,0,0,62,62,42.2358533,2.6499657
Sallent,0,1632,0,0,0,1848,3480,41.8259065,1.8948758
Salomó,0,0,0,0,0,210,210,41.2295948,1.3747378
Salou,1484,1393,2237,1253,465,1712,8544,41.0768193,1.1440411
Salt,1722,2493,0,373,219,3850,8657,41.9741672,2.7949886
Salàs de Pallars,0,83,0,0,0,123,206,42.2120193,0.932087
Sanaüja,0,0,117,0,0,132,249,41.876169,1.3106363
Sant Adrià de Besòs,4199,0,0,2131,602,6286,13218,41.4304832,2.2182775
Sant Agustí de Lluçanès,0,0,0,0,0,50,50,42.0855048,2.1272825
Sant Andreu Salou,0,43,0,0,0,74,117,41.8732667,2.8254449
Sant Andreu de Llavaneres,448,2383,673,551,490,460,5005,41.5739524,2.4828158
Sant Andreu de la Barca,5080,0,506,1435,442,4407,11870,41.4499648,1.9719416
Sant Aniol de Finestres,0,0,0,0,0,221,221,42.0694432,2.6084554
Sant Antoni de Vilamajor,0,715,0,0,0,2229,2944,41.6735604,2.4012202
Sant Bartomeu del Grau,0,0,0,0,0,524,524,41.9807659,2.1750391
Sant Boi de Llobregat,16001,6233,1743,3915,1633,7632,37157,41.3459033,2.0413673
Sant Boi de Lluçanès,0,0,0,0,0,274,274,42.0578411,2.1511135
Sant Cebrià de Vallalta,163,458,239,0,0,748,1608,41.620353,2.6017906
Sant Celoni,2083,1386,0,397,0,4529,8395,41.6895041,2.4914526
Sant Climent Sescebes,56,180,89,0,0,0,325,42.3693761,2.9802226
Sant Climent de Llobregat,0,0,0,126,17,2031,2174,41.3366993,1.9970575
Sant Cugat Sesgarrigues,0,267,0,0,0,351,618,41.3644619,1.7530702
Sant Cugat del Vallès,0,0,12146,5188,1935,24561,43830,41.4728432,2.0817809
Sant Esteve Sesrovires,935,1172,0,335,0,1377,3819,41.4932429,1.8747348
Sant Esteve de Palautordera,0,321,770,0,0,448,1539,41.7040768,2.4343426
Sant Esteve de la Sarga,0,57,0,0,2,39,98,42.0798949,0.7640458
Sant Feliu Sasserra,0,284,0,0,0,0,284,41.9447451,2.0213124
Sant Feliu de Buixalleu,0,185,0,0,0,254,439,41.7913017,2.5861463
Sant Feliu de Codines,262,400,1205,0,0,1109,2976,41.6885036,2.1646769
Sant Feliu de Guíxols,1253,1326,0,339,214,6008,9140,41.7838827,3.0283195
Sant Feliu de Llobregat,5307,4777,0,2265,882,9004,22235,41.3812851,2.0446381
Sant Feliu de Pallerols,0,0,0,0,0,856,856,42.0758164,2.5078037
Sant Ferriol,4,0,0,0,0,133,137,42.1868577,2.6783028
Sant Fost de Campsentelles,380,0,0,167,73,3742,4362,41.518752,2.2328323
Sant Fruitós de Bages,783,926,0,0,0,2707,4416,41.7532735,1.8749418
Sant Gregori,121,396,0,0,0,1619,2136,41.9910304,2.7564765
Sant Guim de Freixenet,0,398,117,0,0,0,515,41.6575687,1.4208056
Sant Guim de la Plana,0,77,0,0,0,54,131,41.7624821,1.3236047
Sant Hilari Sacalm,0,541,0,0,0,2209,2750,41.8780822,2.5131751
Sant Hipòlit de Voltregà,0,0,0,0,0,1878,1878,42.0152733,2.2376471
Sant Iscle de Vallalta,19,96,82,0,0,523,720,41.62433,2.56914
Sant Jaume d'Enveja,1115,492,225,0,0,127,1959,40.7062849,0.7182888
Sant Jaume de Frontanyà,0,0,0,0,0,21,21,42.1874392,2.0238488
Sant Jaume de Llierca,0,0,0,0,0,356,356,42.2119833,2.6074259
Sant Jaume dels Domenys,145,311,0,0,0,835,1291,41.2988526,1.5601007
Sant Joan Despí,7929,2742,0,1656,672,4167,17166,41.3667951,2.0570346
Sant Joan de Mollet,0,0,0,0,0,227,227,42.0442275,2.941985
Sant Joan de Vilatorrada,1021,981,0,329,95,3091,5517,41.7422073,1.803625
Sant Joan de les Abadesses,0,856,0,0,0,1172,2028,42.233743,2.2854845
Sant Joan les Fonts,0,0,0,0,0,1559,1559,42.2132951,2.5134302
Sant Jordi Desvalls,0,156,0,0,0,261,417,42.0714043,2.9522691
Sant Julià de Cerdanyola,0,0,0,0,0,118,118,42.2234097,1.8921354
Sant Julià de Ramis,0,1026,0,0,0,676,1702,42.0346552,2.8394572
Sant Julià de Vilatorta,0,0,0,0,0,1347,1347,41.9219404,2.3240651
Sant Julià del Llor i Bonmatí,0,0,0,0,0,518,518,41.9780037,2.6487993
Sant Just Desvern,3244,1549,0,695,374,3139,9001,41.3815832,2.0750677
Sant Llorenç Savall,60,529,0,0,0,672,1261,41.6794647,2.0579669
Sant Llorenç d'Hortons,0,0,0,0,0,1253,1253,41.4679645,1.824028
Sant Llorenç de Morunys,0,0,159,0,0,362,521,42.1360783,1.5885869
Sant Llorenç de la Muga,2,0,0,0,0,192,194,42.3199618,2.7888647
Sant Martí Sarroca,0,300,0,0,0,1400,1700,41.3854214,1.6108158
Sant Martí Sesgueioles,0,0,89,0,0,157,246,41.7021286,1.4882003
Sant Martí Vell,0,0,0,0,6,141,147,42.0196093,2.9311901
Sant Martí d'Albars,0,0,0,0,0,84,84,42.0281258,2.0742512
Sant Martí de Centelles,0,0,0,0,0,567,567,41.7540904,2.2195762
Sant Martí de Llémena,5,0,0,0,0,319,324,42.0364324,2.6475329
Sant Martí de Riucorb,0,0,0,0,0,447,447,41.5550892,1.0798514
Sant Martí de Tous,0,435,117,0,0,199,751,41.5621915,1.521792
Sant Mateu de Bages,0,193,0,0,0,227,420,41.7969781,1.7327386
Sant Miquel de Campmajor,3,0,0,0,0,130,133,42.135899,2.6790781
Sant Miquel de Fluvià,0,0,0,0,0,281,281,42.1732143,2.9904591
Sant Mori,0,57,37,0,0,51,145,42.1559696,2.9896074
Sant Pau de Segúries,0,0,0,0,0,449,449,42.2633408,2.366055
Sant Pere Pescador,0,0,0,0,0,728,728,42.1899836,3.0837479
Sant Pere Sallavinera,0,0,50,0,0,38,88,41.7365708,1.5745225
Sant Pere de Ribes,6278,1344,0,795,360,4240,13017,41.2619218,1.7721357
Sant Pere de Riudebitlles,0,457,524,0,0,218,1199,41.4535893,1.7017388
Sant Pere de Torelló,0,0,0,0,0,1282,1282,42.0754755,2.2955862
Sant Pere de Vilamajor,400,938,0,0,0,739,2077,41.6843288,2.3900497
Sant Pol de Mar,174,855,214,0,116,1418,2777,41.6030132,2.6238092
Sant Quintí de Mediona,0,625,0,0,88,399,1112,41.4627909,1.6652161
Sant Quirze Safaja,0,0,0,0,0,325,325,41.7271551,2.1530012
Sant Quirze de Besora,0,391,0,0,0,831,1222,42.101426,2.2170289
Sant Quirze del Vallès,1381,0,1751,1088,389,5490,10099,41.530143,2.0820052
Sant Ramon,0,110,196,0,0,0,306,41.7253374,1.363189
Sant Sadurní d'Anoia,1440,1838,1454,0,487,1420,6639,41.4244663,1.7863949
Sant Sadurní d'Osormort,0,10,0,0,0,45,55,41.9019288,2.3815562
Sant Salvador de Guardiola,361,0,706,0,0,492,1559,41.6797988,1.7671087
Sant Vicenç de Castellet,740,1580,1391,0,0,351,4062,41.6669999,1.8625559
Sant Vicenç de Montalt,730,316,0,239,196,1684,3165,41.5787122,2.5103642
Sant Vicenç de Torelló,0,0,0,0,0,1188,1188,42.0630229,2.272337
Sant Vicenç dels Horts,0,0,0,1512,242,11056,12810,41.3934193,2.0099482
Santa Bàrbara,211,373,582,0,346,293,1805,40.7145779,0.4927561
Santa Cecília de Voltregà,0,0,0,0,0,136,136,41.9930549,2.222325
Santa Coloma de Cervelló,584,0,0,320,66,2961,3931,41.3687006,2.0174512
Santa Coloma de Farners,619,1659,0,0,0,3029,5307,41.8603109,2.6659047
Santa Coloma de Gramenet,22913,4460,0,6349,1918,9143,44783,41.4515626,2.2083371
Santa Coloma de Queralt,0,492,0,0,0,956,1448,41.5320987,1.3884221
Santa Cristina d'Aro,0,769,0,139,86,1290,2284,41.813979,2.9974879
Santa Eugènia de Berga,0,0,0,0,23,1253,1276,41.9000058,2.283319
Santa Eulàlia de Riuprimer,0,0,0,0,0,510,510,41.9109533,2.1886023
Santa Eulàlia de Ronçana,0,559,170,279,0,2487,3495,41.6523952,2.229264
Santa Fe del Penedès,0,0,124,0,0,124,248,41.3844582,1.7209214
Santa Llogaia d'Àlguema,0,0,0,0,0,128,128,42.2333519,2.9523456
Santa Margarida de Montbui,1919,507,0,198,48,2036,4708,41.5745942,1.6084538
Santa Margarida i els Monjos,1628,1050,0,188,0,476,3342,41.3213389,1.6623519
Santa Maria d'Oló,0,0,0,0,0,484,484,41.8742425,2.0358546
Santa Maria de Besora,0,0,0,0,0,117,117,42.1272818,2.2589189
Santa Maria de Martorelles,0,174,123,0,0,203,500,41.5198085,2.2537044
Santa Maria de Merlès,0,0,0,0,0,47,47,42.0007572,1.9778885
Santa Maria de Miralles,0,0,38,0,0,51,89,41.5004287,1.5282249
Santa Maria de Palautordera,667,0,2579,0,0,1458,4704,41.693781,2.4442321
Santa Oliva,570,491,64,168,72,280,1645,41.2532889,1.5510139
Santa Pau,0,0,0,0,0,989,989,42.1442606,2.571379
Santa Perpètua de Mogoda,1741,0,0,1427,261,7604,11033,41.5328106,2.1823309
Santa Susanna,104,0,0,153,0,1393,1650,41.6357256,2.7065933
Santpedor,0,1580,846,0,0,1478,3904,41.7847594,1.8386882
Sarral,0,0,325,0,0,504,829,41.4453774,1.2469434
Sarrià de Ter,521,1141,0,203,0,758,2623,42.0141923,2.8175976
Sarroca de Bellera,0,0,0,0,0,103,103,42.3595877,0.8812388
Sarroca de Lleida,0,0,0,0,0,257,257,41.4594249,0.5610144
"Saus, Camallera i Llampaies",0,0,258,0,0,223,481,42.1319421,2.979009
Savallà del Comtat,0,0,23,0,0,20,43,41.5428139,1.2997894
Secuita,0,640,0,0,97,0,737,41.4077814,2.1625342
Selva de Mar,2,25,102,0,0,0,129,41.4091122,2.2104564
Selva del Camp,0,614,1013,0,0,1465,3092,41.2112712,1.1439589
Senan,0,0,0,0,0,24,24,41.4696984,1.0874668
Senterada,0,18,0,0,0,114,132,42.3249257,0.9366155
Sentiu de Sió,0,0,0,0,0,281,281,41.8049307,0.8797113
Sentmenat,905,639,785,189,110,1766,4394,41.6110502,2.1374456
Serinyà,0,0,0,0,0,539,539,42.1687245,2.7448646
Serra de Daró,0,47,0,0,0,98,145,42.028087,3.0728658
Seròs,0,418,0,0,22,470,910,41.4636665,0.4118677
Setcases,0,48,0,0,0,109,157,42.375331,2.3016103
Seu d'Urgell,0,1192,0,126,167,4064,5549,42.3573444,1.4621527
Seva,0,1094,0,0,0,830,1924,41.8361292,2.2835441
Sidamon,0,78,328,0,0,0,406,41.6289346,0.8318491
Sils,178,0,0,132,73,2237,2620,41.8098347,2.743055
Sitges,1406,2172,1860,1349,423,5235,12445,41.2366707,1.8228136
Siurana,0,0,44,0,0,64,108,42.2095097,2.9940216
Sobremunt,0,0,0,0,0,44,44,42.0353017,2.165156
Soleràs,0,0,43,0,0,152,195,42.1002208,2.1776968
Solivella,0,0,0,0,0,329,329,41.4551755,1.1782848
Solsona,313,2145,1038,178,0,691,4365,41.9945762,1.5184038
Sora,0,0,0,0,0,121,121,42.1119353,2.1610531
Soriguera,0,0,0,0,0,265,265,42.3848228,1.1834819
Sort,110,0,0,0,0,1084,1194,42.4114509,1.1298362
Soses,0,426,0,0,0,414,840,41.5331552,0.4874802
Subirats,158,509,652,0,58,364,1741,41.3951601,1.8112496
Sudanell,0,0,0,0,0,500,500,41.556894,0.5669118
Sunyer,0,0,0,0,0,186,186,41.5230023,0.5924514
Susqueda,0,50,0,0,0,5,55,41.9983697,2.5131351
Sénia,0,0,0,0,0,2713,2713,40.6352128,0.2810833
Súria,871,754,213,103,0,1363,3304,41.8328065,1.7526606
Tagamanent,0,0,0,0,0,112,112,41.7391505,2.2666145
Talamanca,0,0,94,0,0,62,156,41.7381785,1.9772537
Talarn,0,0,0,0,0,234,234,42.1860349,0.8995312
