Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2010,38.0,September 26,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,39.0,October 3,Eminem(feat.Rihanna),"""Love the Way You Lie""",,,Love the Way You Lie,,Eminem(feat.Rihanna),
2010,40.0,October 10,Eminem(feat.Rihanna),"""Love the Way You Lie""",,,Love the Way You Lie,,Eminem(feat.Rihanna),
2010,41.0,October 17,Eminem(feat.Rihanna),"""Love the Way You Lie""",,,Love the Way You Lie,,Eminem(feat.Rihanna),
2010,42.0,October 24,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,43.0,October 31,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,44.0,November 7,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,45.0,November 14,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,46.0,November 21,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,47.0,November 28,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,48.0,December 5,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,49.0,December 12,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,50.0,December 19,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2010,51.0,December 26,Amaia Montero,"""Chiquitita""",,,Chiquitita,,Amaia Montero,
2010,52.0,January 2,Shakira(feat. El Cata),"""Loca""",,,Loca,,Shakira(feat. El Cata),
2011,1.0,January 9,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2011,2.0,January 16,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2011,3.0,January 23,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2011,4.0,January 30,The Black Eyed Peas,"""The Time (Dirty Bit)""",,,The Time,,The Black Eyed Peas,
2011,5.0,February 6,The Black Eyed Peas,"""The Time (Dirty Bit)""",,,The Time,,The Black Eyed Peas,
2011,6.0,February 13,Lady Gaga,"""Born This Way""",,,Born This Way,,Lady Gaga,
2011,7.0,February 20,Lady Gaga,"""Born This Way""",,,Born This Way,,Lady Gaga,
2011,8.0,February 27,Pablo Alborán,"""Solamente Tú""",,,Solamente Tú,,Pablo Alborán,
2011,9.0,March 6,Pablo Alborán,"""Solamente Tú""",,,Solamente Tú,,Pablo Alborán,
2011,10.0,March 13,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,11.0,March 20,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,12.0,March 27,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,13.0,April 3,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,14.0,April 10,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,15.0,April 17,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,16.0,April 24,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,17.0,May 1,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,18.0,May 8,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,19.0,May 15,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,20.0,May 22,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,21.0,May 29,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,22.0,June 5,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,23.0,June 12,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,24.0,June 19,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,,Jennifer Lopez(feat.Pitbull),
2011,25.0,June 26,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,,Shakira(feat. Pitbull),
2011,26.0,July 3,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,,Shakira(feat. Pitbull),
2011,27.0,July 10,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,,Shakira(feat. Pitbull),
2011,28.0,July 17,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,,Shakira(feat. Pitbull),
2011,29.0,July 24,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,,Shakira(feat. Pitbull),
2011,30.0,July 31,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,31.0,August 7,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,32.0,August 14,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,33.0,August 21,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,34.0,August 28,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,35.0,September 4,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,36.0,September 11,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,37.0,September 18,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,38.0,September 25,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,,Don Omar&Lucenzo,
2011,39.0,October 2,Pitbull(feat.Marc Anthony),"""Rain Over Me""",,,Rain Over Me,,Pitbull(feat.Marc Anthony),
2011,40.0,October 9,Pitbull(feat.Marc Anthony),"""Rain Over Me""",,,Rain Over Me,,Pitbull(feat.Marc Anthony),
2011,41.0,October 16,Juan Magán(feat. Crossfire),"""Bailando por Ahí""",,,Bailando por Ahí,,Juan Magán(feat. Crossfire),
2011,42.0,October 23,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,,Pitbull(feat. Marc Anthony),
2011,43.0,October 30,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,,Pitbull(feat. Marc Anthony),
2011,44.0,November 6,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,,Pitbull(feat. Marc Anthony),
2011,45.0,November 13,Pablo Alborán(feat. Carminho),"""Perdóname""",,,Perdóname,,Pablo Alborán(feat. Carminho),
2011,46.0,November 20,Pablo Alborán(feat. Carminho),"""Perdóname""",,,Perdóname,,Pablo Alborán(feat. Carminho),
2011,47.0,November 27,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2011,48.0,December 4,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2011,49.0,December 11,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2011,50.0,December 18,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2011,51.0,December 25,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2011,52.0,January 1,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,,Michel Teló,
2012,1.0,January 8,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,2.0,January 15,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,3.0,January 22,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,4.0,January 29,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,5.0,February 5,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,6.0,February 12,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,7.0,February 19,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,8.0,February 26,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,9.0,March 4,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,10.0,March 11,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2012,11.0,March 18,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,12.0,March 25,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,13.0,April 1,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,14.0,April 8,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,15.0,April 15,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,16.0,April 22,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,17.0,April 29,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,18.0,May 6,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,19.0,May 13,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,20.0,May 20,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,21.0,May 27,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,22.0,June 3,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,23.0,June 10,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,24.0,June 17,Cali y El Dandee(feat.David Bisbal),"""No Hay 2 Sin 3 (Gol)""",,,No Hay 2 Sin 3,,Cali y El Dandee(feat.David Bisbal),
2012,25.0,June 24,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,,Cali y El Dandee,
2012,26.0,July 1,Alejandro Sanz,"""No Me Compares""",,,No Me Compares,,Alejandro Sanz,
2012,27.0,July 8,Cali & El Dandee(feat. David Bisbal),"""No Hay 2 Sin 3 (Gol)""",,,No Hay 2 Sin 3,,Cali & El Dandee(feat. David Bisbal),
2012,28.0,July 15,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,29.0,July 22,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,30.0,July 29,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,31.0,August 5,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,32.0,August 12,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,33.0,August 19,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,34.0,August 26,Tacabro,"""Tacatá""",,,Tacatá,,Tacabro,
2012,35.0,September 2,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,36.0,September 9,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,37.0,September 16,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,38.0,September 23,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,39.0,September 30,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,40.0,October 7,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,41.0,October 14,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,,Juan Magan(feat.Belinda),
2012,42.0,October 21,Robert Ramírez,"""You Are Not Alone""",,,You Are Not Alone,,Robert Ramírez,
2012,43.0,October 28,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,,Juan Magan(feat. Belinda),
2012,44.0,November 4,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,,Juan Magan(feat. Belinda),
2012,45.0,November 11,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,,Juan Magan(feat. Belinda),
2012,46.0,November 18,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,47.0,November 25,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,48.0,December 2,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,49.0,December 9,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,50.0,December 16,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,51.0,December 23,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2012,52.0,December 30,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,1.0,January 6,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,2.0,January 13,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,3.0,January 20,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,4.0,January 27,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,5.0,February 3,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2013,6.0,February 10,Pablo Alborán,El Beso,,,El Beso,,Pablo Alborán,
2013,7.0,February 17,Pablo Alborán,El Beso,,,El Beso,,Pablo Alborán,
2013,8.0,February 24,will.i.am(feat.Britney Spears),"""Scream & Shout""",,,Scream & Shout,,will.i.am(feat.Britney Spears),
2013,9.0,March 3,Malú(feat. Pablo Alborán),"""Vuelvo a verte""",,,Vuelvo a verte,,Malú(feat. Pablo Alborán),
2013,10.0,March 10,Yandar & Yostin(feat.Andy Rivera),"""Te Pintaron Pajaritos""",,,Te Pintaron Pajaritos,,Yandar & Yostin(feat.Andy Rivera),
2013,11.0,March 17,Yandar & Yostin(feat.Andy Rivera),"""Te Pintaron Pajaritos""",,,Te Pintaron Pajaritos,,Yandar & Yostin(feat.Andy Rivera),
2013,12.0,March 24,Pink,"""Try""",,,Try,,Pink,
2013,13.0,March 31,Pink,"""Try""",,,Try,,Pink,
2013,14.0,April 7,Pink,"""Try""",,,Try,,Pink,
2013,15.0,April 14,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,,Pitbull(feat.Christina Aguilera),
2013,16.0,April 21,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,,Pitbull(feat.Christina Aguilera),
2013,17.0,April 28,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,,Pitbull(feat.Christina Aguilera),
2013,18.0,May 5,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,,Pitbull(feat.Christina Aguilera),
2013,19.0,May 12,Pablo Alborán,"""Quién""",,,Quién,,Pablo Alborán,
2013,20.0,May 19,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,21.0,May 26,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,22.0,June 2,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,23.0,June 9,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,24.0,June 16,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,25.0,June 23,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,26.0,June 30,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,27.0,July 7,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,28.0,July 14,Dani Martín,"""Cero""",,,Cero,,Dani Martín,
2013,29.0,July 21,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,30.0,July 28,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,31.0,August 4,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,,Daft Punk(feat.Pharrell Williams),
2013,32.0,August 11,Robin Thicke(feat.T.I.andPharrell),"""Blurred Lines""",,,Blurred Lines,,Robin Thicke(feat.T.I.andPharrell),
2013,33.0,August 18,Lady Gaga,"""Applause""",,,Applause,,Lady Gaga,
2013,34.0,August 25,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,35.0,September 1,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,36.0,September 8,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,37.0,September 15,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,38.0,September 22,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,39.0,September 29,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,40.0,October 6,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,41.0,October 13,Avicii,"""Wake Me Up""",,,Wake Me Up,,Avicii,
2013,42.0,October 20,Por Ellas,"""Color Esperanza""",,,Color Esperanza,,Por Ellas,
2013,43.0,October 27,Por Ellas,"""Color Esperanza""",,,Color Esperanza,,Por Ellas,
2013,44.0,November 3,Lady Gaga,"""Venus""",,,Venus,,Lady Gaga,
2013,45.0,November 10,Lady Gaga,[89],,,,,Lady Gaga,
2013,46.0,November 17,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,,Miley Cyrus,
2013,47.0,November 24,One Direction,"""Story of My Life""",,,Story of My Life,,One Direction,
2013,48.0,December 1,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,,Miley Cyrus,
2013,49.0,December 8,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,,Miley Cyrus,
2013,50.0,December 15,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,,Miley Cyrus,
2013,51.0,December 22,Kiko Rivera,"""Así Soy Yo""",,,Así Soy Yo,,Kiko Rivera,
2013,52.0,December 29,One Direction,"""Story of My Life""",,,Story of My Life,,One Direction,
2014,1.0,January 5,Avicii,"""Hey Brother""",,,Hey Brother,,Avicii,
2014,2.0,January 12,Avicii,"""Hey Brother""",,,Hey Brother,,Avicii,
2014,3.0,January 19,Enrique Iglesiasfeat.Romeo Santos,"""Loco""",,,Loco,,Enrique Iglesiasfeat.Romeo Santos,
2014,4.0,January 26,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,5.0,February 2,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,6.0,February 9,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,7.0,February 16,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,8.0,February 23,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,9.0,March 2,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,10.0,March 9,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,11.0,March 16,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,,David Bisbal,
2014,12.0,March 23,Pharrell Williams,"""Happy""",,,Happy,,Pharrell Williams,
2014,13.0,March 30,Shakira,"""Boig per Tu""",,,Boig per Tu,,Shakira,
2014,14.0,April 6,Pharrell Williams,"""Happy""",,,Happy,,Pharrell Williams,
2014,15.0,April 13,Pharrell Williams,"""Happy""",,,Happy,,Pharrell Williams,
2014,16.0,April 20,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,17.0,April 27,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,18.0,May 4,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,19.0,May 11,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,20.0,May 18,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,21.0,May 25,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,22.0,June 1,Real Madridfeat.Redone,"""Hala Madrid ...y Nada Más""",,,Hala Madrid ...y Nada Más,,Real Madridfeat.Redone,
2014,23.0,June 8,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,24.0,June 15,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,25.0,June 22,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,26.0,June 29,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,27.0,July 6,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,28.0,July 13,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,29.0,July 20,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,30.0,July 27,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,31.0,August 3,Auryn,"""Puppeteer""",,,Puppeteer,,Auryn,
2014,32.0,August 10,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,33.0,August 17,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,34.0,August 24,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,35.0,August 31,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,36.0,September 7,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,37.0,September 14,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,38.0,September 21,Pablo Alborán,"""Por Fin""",,,Por Fin,,Pablo Alborán,
2014,39.0,September 28,Pablo Alborán,"""Por Fin""",,,Por Fin,,Pablo Alborán,
2014,40.0,October 5,Lilly Wood & The Prick and Robin Schulz,"""Prayer in C (Robin Schulz Radio Edit)""",,,Prayer in C,,Lilly Wood & The Prick and Robin Schulz,
2014,41.0,October 12,Pablo Alborán,"""Pasos de cero""",,,Pasos de cero,,Pablo Alborán,
2014,42.0,October 19,Pablo López,"""El mejor momento""",,,El mejor momento,,Pablo López,
2014,43.0,October 26,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,,Juan Magánfeat.Belinda&Lapiz Conciente,
2014,44.0,November 2,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,,Juan Magánfeat.Belinda&Lapiz Conciente,
2014,45.0,November 9,Meghan Trainor,"""All About That Bass""",,,All About That Bass,,Meghan Trainor,
2014,46.0,November 16,Meghan Trainor,"""All About That Bass""",,,All About That Bass,,Meghan Trainor,
2014,47.0,November 23,Band Aid 30,"""Do They Know It's Christmas? (2014)""",,,Do They Know Its Christmas?,,Band Aid 30,
2014,48.0,November 30,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,,David Guettafeat.Sam Martin,
2014,49.0,December 7,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,,David Guettafeat.Sam Martin,
2014,50.0,December 14,Meghan Trainor,"""All About That Bass""",,,All About That Bass,,Meghan Trainor,
2014,51.0,December 21,David Guetta feat. Sam Martin,"""Dangerous""",,,Dangerous,,David Guetta feat. Sam Martin,
2014,52.0,December 28,Meghan Trainor,"""All About That Bass""",,,All About That Bass,,Meghan Trainor,
2015,1.0,January 4,David GuettafeaturingSam Martin,"""Dangerous""",Melendi,"""Tocado y hundido""",Dangerous,Tocado y hundido,David GuettafeaturingSam Martin,Melendi
2015,2.0,January 11,David GuettafeaturingSam Martin,"""Dangerous""","""Stay with Me""",[5],Dangerous,,David GuettafeaturingSam Martin,Stay with Me
2015,3.0,January 18,David GuettafeaturingSam Martin,"""Dangerous""","""Dangerous""",[7],Dangerous,,David GuettafeaturingSam Martin,Dangerous
2015,4.0,January 25,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""",Melendi,"""Tocado y hundido""",Uptown Funk,Tocado y hundido,Mark RonsonfeaturingBruno Mars,Melendi
2015,5.0,February 1,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""","""Dangerous""",[11],Uptown Funk,,Mark RonsonfeaturingBruno Mars,Dangerous
2015,6.0,February 8,Mark RonsonfeaturingBruno Mars,Meghan Trainor,"""Lips Are Movin""",[13],Meghan Trainor,,Mark RonsonfeaturingBruno Mars,Lips Are Movin
2015,7.0,February 15,Mark RonsonfeaturingBruno Mars,Meghan Trainor,,,Meghan Trainor,,Mark RonsonfeaturingBruno Mars,
