Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2002,,22 July,Nadie Como Tú (Remixes),Shalim,,,Shalim,,Nadie Como Tú (Remixes),
2002,,29 July,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,5 August,Ave María (Remixes),David Bisbal,,,David Bisbal,,Ave María (Remixes),
2002,,12 August,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,2 September,Chihuahua,DJ Bobo,,,DJ Bobo,,Chihuahua,
2002,,9 September,Everyday,Bon Jovi,,,Bon Jovi,,Everyday,
2002,,23 September,All The Things She Said,t.A.T.u.,,,t.A.T.u.,,All The Things She Said,
2002,,21 October,Electrical Storm,U2,,,U2,,Electrical Storm,
2002,,28 October,Die Another Day,Madonna,,,Madonna,,Die Another Day,
2002,,25 November,Through The Rain,Mariah Carey,,,Mariah Carey,,Through The Rain,
2002,,2 December,No Quiero Sufrir,Cristie,,,Cristie,,No Quiero Sufrir,
2002,,16 December,Tú No Me Verás Llorar,Marey,,,Marey,,Tú No Me Verás Llorar,
2002,,30 December,Bésame,Danni Úbeda,,,Danni Úbeda,,Bésame,
2004,,January 4,"""Motivos de un sentimiento""",Joaquín Sabina,,,Joaquín Sabina,,Motivos de un sentimiento,
2004,,January 11,"""Uno más uno son siete""",Fran Perea,,,Fran Perea,,Uno más uno son siete,
2004,,January 18,"""The Unnamed Feeling""",Metallica,,,Metallica,,The Unnamed Feeling,
2004,,February 8,"""Bulería""",David Bisbal,,,David Bisbal,,Bulería,
2004,,February 15,"""Fuente de energía""",Estopa,,,Estopa,,Fuente de energía,
2004,,March 14,"""Amazing""",George Michael,,,George Michael,,Amazing,
2004,,March 21,"""Love Profusion""",Madonna,,,Madonna,,Love Profusion,
2004,,March 28,"""Left Outside Alone""",Anastacia,,,Anastacia,,Left Outside Alone,
2004,,April 4,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
2004,,April 11,"""Retorciendo palabras""",Fangoria,,,Fangoria,,Retorciendo palabras,
2004,,May 2,"""Para llenarme de ti""",Ramón,,,Ramón,,Para llenarme de ti,
2004,,May 9,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
2004,,May 16,"""Que tengas suertecita""",Bunbury,,,Bunbury,,Que tengas suertecita,
2004,,May 23,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
2004,,May 30,"""Música para una boda""",Nacho Canoy laOSM,,,Nacho Canoy laOSM,,Música para una boda,
2004,,June 20,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
2004,,June 27,"""Y además es imposible""",Los Planetas,,,Los Planetas,,Y además es imposible,
2004,,July 18,"""Mis adorables vecinos""",Sheila,,,Sheila,,Mis adorables vecinos,
2004,,August 8,"""Dirás que estoy loco""",Miguel Ángel Muñoz,,,Miguel Ángel Muñoz,,Dirás que estoy loco,
2004,,September 12,"""Mein Teil""",Rammstein,,,Rammstein,,Mein Teil,
2004,,September 19,"""Dirás que estoy loco""",Miguel Ángel Muñoz,,,Miguel Ángel Muñoz,,Dirás que estoy loco,
2004,,October 17,"""Mis adorables vecinos""",Sheila,,,Sheila,,Mis adorables vecinos,
2004,,October 24,"""Enjoy the Silence""",Depeche Mode,,,Depeche Mode,,Enjoy the Silence,
2004,,October 31,"""La mano en el fuego""",Fangoria,,,Fangoria,,La mano en el fuego,
2004,,November 7,"""Just Lose It""",Eminem,,,Eminem,,Just Lose It,
2004,,November 14,"""Vertigo""",U2,,,U2,,Vertigo,
2004,,December 5,"""Todo nos parece una mierda""",Astrud,,,Astrud,,Todo nos parece una mierda,
2004,,December 12,"""Vertigo""",U2,,,U2,,Vertigo,
2004,,December 19,"""Do They Know It's Christmas?""",Band Aid 20,,,Band Aid 20,,Do They Know Its Christmas?,
2005,,January 9,"""Todo nos parece una mierda""",Astrud,,,Astrud,,Todo nos parece una mierda,
2005,,January 16,"""Vertigo""",U2,,,U2,,Vertigo,
2005,,January 23,"""Galvanize""",The Chemical Brothers,,,The Chemical Brothers,,Galvanize,
2005,,January 30,"""Galvanize""",The Chemical Brothers,,,The Chemical Brothers,,Galvanize,
2005,,February 6,"""Nunca volverá""",El sueño de Morfeo,,,El sueño de Morfeo,,Nunca volverá,
2005,,February 13,"""Nunca volverá""",El sueño de Morfeo,,,El sueño de Morfeo,,Nunca volverá,
2005,,February 20,"""Sometimes You Can't Make It on Your Own""",El sueño de Morfeo,,,El sueño de Morfeo,,Sometimes You Cant Make It on Your Own,
2005,,February 27,"""Nunca volverá""",El sueño de morfeo,,,El sueño de morfeo,,Nunca volverá,
2005,,March 3,"""El universo sobre mí""",Amaral,,,Amaral,,El universo sobre mí,
2005,,March 13,[12],Amaral,,,Amaral,,,
2005,,March 20,[13],Amaral,,,Amaral,,,
2005,,March 27,"""Nunca volverá""",El sueño de morfeo,,,El sueño de morfeo,,Nunca volverá,
2005,,April 3,"""Canto (El mismo dolor)""",Bunbury,,,Bunbury,,Canto (El mismo dolor),
2005,,April 10,"""The Trawlerman's Song"" (EP)",Mark Knopfler,,,Mark Knopfler,,The Trawlermans Song (EP),
2005,,April 17,[17],Mark Knopfler,,,Mark Knopfler,,,
2005,,April 24,"""Enamorada de ti""",Mónica Naranjo,,,Mónica Naranjo,,Enamorada de ti,
2005,,May 1,[19],Mónica Naranjo,,,Mónica Naranjo,,,
2005,,May 8,"""Renuncia al sol""",Skizoo,,,Skizoo,,Renuncia al sol,
2005,,May 15,"""Feel Good Inc.""",Gorillaz,,,Gorillaz,,Feel Good Inc.,
2005,,May 22,"""La tortura""",ShakiraconAlejandro Sanz,,,ShakiraconAlejandro Sanz,,La tortura,
2005,,May 29,[23],ShakiraconAlejandro Sanz,,,ShakiraconAlejandro Sanz,,,
2005,,June 19,"""City of Blinding Lights""",U2,,,U2,,City of Blinding Lights,
2005,,July 3,"""Himno oficial del centenario delSevilla""",El Arrebato,,,El Arrebato,,Himno oficial del centenario delSevilla,
2005,,July 10,"""Axel F""",Crazy Frog,,,Crazy Frog,,Axel F,
2005,,August 7,"""Himno oficial del centenario delSevilla""",El Arrebato,,,El Arrebato,,Himno oficial del centenario delSevilla,
2005,,August 21,"""Ooh la la""",Goldfrapp,,,Goldfrapp,,Ooh la la,
2005,,August 28,"""Streets of Love""",The Rolling Stones,,,The Rolling Stones,,Streets of Love,
2005,,September 4,"""The Trooper""",Iron Maiden,,,Iron Maiden,,The Trooper,
2005,,September 18,"""Sin rencor""",OBK,,,OBK,,Sin rencor,
2005,,October 2,"""Popcorn""",Crazy Frog,,,Crazy Frog,,Popcorn,
2005,,October 9,"""Precious""",Depeche Mode,,,Depeche Mode,,Precious,
2005,,October 30,"""Dos mentiras""",Circus,,,Circus,,Dos mentiras,
2005,,November 6,"""La posada de los muertos""",Mago de Oz,,,Mago de Oz,,La posada de los muertos,
2005,,November 13,"""Hung Up""",Madonna,,,Madonna,,Hung Up,
2005,,December 18,"""A pain that I'm used to""",Depeche Mode,,,Depeche Mode,,A pain that Im used to,
2005,,December 25,"""Jingle Bells/Last Christmas""",Crazy Frog,,,Crazy Frog,,Jingle Bells/Last Christmas,
2006,,1 January,"""Hung Up""",Madonna,,,Madonna,,Hung Up,
2006,,29 January,"""Hung Up""",Madonna,,,Madonna,,Hung Up,
2006,,5 February,"""First Day of My Life""",Melanie C,,,Melanie C,,First Day of My Life,
2006,,19 February,"""First Day of My Life""",Melanie C,,,Melanie C,,First Day of My Life,
2006,,26 February,"""Thriller""",Michael Jackson,,,Michael Jackson,,Thriller,
2006,,5 March,"""Sorry""",Madonna,,,Madonna,,Sorry,
