Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2010,41.0,October 17,Eminem(feat.Rihanna),"""Love the Way You Lie""",,,Love the Way You Lie,
2010,42.0,October 24,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,43.0,October 31,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,44.0,November 7,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,45.0,November 14,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,46.0,November 21,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,47.0,November 28,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,48.0,December 5,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,49.0,December 12,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,50.0,December 19,Shakira(feat.El Cata),"""Loca""",,,Loca,
2010,51.0,December 26,Amaia Montero,"""Chiquitita""",,,Chiquitita,
2010,52.0,January 2,Shakira(feat. El Cata),"""Loca""",,,Loca,
2011,1.0,January 9,Shakira(feat.El Cata),"""Loca""",,,Loca,
2011,2.0,January 16,Shakira(feat.El Cata),"""Loca""",,,Loca,
2011,3.0,January 23,Shakira(feat.El Cata),"""Loca""",,,Loca,
2011,4.0,January 30,The Black Eyed Peas,"""The Time (Dirty Bit)""",,,The Time,
2011,5.0,February 6,The Black Eyed Peas,"""The Time (Dirty Bit)""",,,The Time,
2011,6.0,February 13,Lady Gaga,"""Born This Way""",,,Born This Way,
2011,7.0,February 20,Lady Gaga,"""Born This Way""",,,Born This Way,
2011,8.0,February 27,Pablo Alborán,"""Solamente Tú""",,,Solamente Tú,
2011,9.0,March 6,Pablo Alborán,"""Solamente Tú""",,,Solamente Tú,
2011,10.0,March 13,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,11.0,March 20,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,12.0,March 27,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,13.0,April 3,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,14.0,April 10,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,15.0,April 17,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,16.0,April 24,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,17.0,May 1,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,18.0,May 8,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,19.0,May 15,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,20.0,May 22,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,21.0,May 29,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,22.0,June 5,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,23.0,June 12,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,24.0,June 19,Jennifer Lopez(feat.Pitbull),"""On the Floor""",,,On the Floor,
2011,25.0,June 26,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,
2011,26.0,July 3,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,
2011,27.0,July 10,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,
2011,28.0,July 17,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,
2011,29.0,July 24,Shakira(feat. Pitbull),"""Rabiosa""",,,Rabiosa,
2011,30.0,July 31,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,31.0,August 7,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,32.0,August 14,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,33.0,August 21,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
