Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2010,,Issue date,Artist(s),Song,Issue date,Artist(s),Song,Artist
2010,,1,January 10,Manuel Carrasco(feat.Malú),[1],1,Manuel Carrasco,1
2010,,2,January 17,Lady Gaga,[3],2,Lady Gaga,2
2010,,3,January 24,Lady Gaga,January 22,Alejandro Sanz,Lady Gaga,Alejandro Sanz
2010,,4,January 31,Lady Gaga,January 29,Alejandro Sanz,Lady Gaga,Alejandro Sanz
2010,,5,February 7,Lady Gaga,February 5,Alejandro Sanz,Lady Gaga,Alejandro Sanz
2010,,6,February 14,David Bisbal,[11],Alejandro Sanz,David Bisbal,Alejandro Sanz
2010,,7,February 21,Estopa(feat.Rosario),[13],Alejandro Sanz,Estopa,Alejandro Sanz
2010,,8,February 28,"David DeMaría,Pastora Soler& Vanesa Martín",[15],Alejandro Sanz,"David DeMaría,Pastora Soler& Vanesa Martín",Alejandro Sanz
2010,,9,March 7,Estopa(feat. Rosario),[17],Alejandro Sanz,Estopa,Alejandro Sanz
2010,,10,March 14,Estopa(feat. Rosario),March 12,Alejandro Sanz,Estopa,Alejandro Sanz
2010,,11,March 21,Estopa(feat. Rosario),March 19,Alejandro Sanz,Estopa,Alejandro Sanz
2010,,12,March 28,Estopa(feat. Rosario),March 26,Alejandro Sanz,Estopa,Alejandro Sanz
2010,,13,April 4,Estopa(feat. Rosario),April 2,Alejandro Sanz,Estopa,Alejandro Sanz
2010,,14,April 11,Estopa(feat. Rosario),April 9,Kesha,Estopa,Kesha
2010,,15,April 18,Estopa(feat. Rosario),April 16,Kesha,Estopa,Kesha
2010,,16,April 25,Carlos Jean(feat. Various artists),[31],16,Carlos Jean,16
2010,,17,May 2,Carlos Jean(feat. Various artists),April 30,[34],Carlos Jean,
2010,,18,May 9,Edward Maya&Vika Jigulina,[35],18,Edward Maya&Vika Jigulina,18
2010,,19,May 16,Edward Maya&Vika Jigulina,May 14,[38],Edward Maya&Vika Jigulina,
2010,,20,May 23,Edward Maya&Vika Jigulina,May 21,Estopa(feat. Rosario),Edward Maya&Vika Jigulina,Estopa
2010,,21,May 30,Estopa(feat. Rosario),[41],21,Estopa,21
2010,,22,June 6,Shakira(feat.Freshlyground),[43],22,Shakira,22
2010,,23,June 13,Shakira(feat.Freshlyground),June 11,[46],Shakira,
2010,,24,June 20,Shakira(feat.Freshlyground),June 18,Shakira,Shakira,Shakira
2010,,25,June 27,Shakira(feat.Freshlyground),June 25,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,26,July 4,Shakira(feat.Freshlyground),July 2,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,27,July 11,Shakira(feat.Freshlyground),July 9,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,28,July 18,Shakira(feat.Freshlyground),July 16,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,29,July 25,Shakira(feat.Freshlyground),July 23,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,30,August 1,Shakira(feat.Freshlyground),July 30,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,31,August 8,Shakira(feat.Freshlyground),August 6,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,32,August 15,Shakira(feat.Freshlyground),August 13,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,33,August 22,Shakira(feat.Freshlyground),August 20,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,34,August 29,Shakira(feat.Freshlyground),August 27,Shakira(feat.Freshlyground),Shakira,Shakira
2010,,35,September 5,Shakira(feat.Freshlyground),September 3,Lady Gaga,Shakira,Lady Gaga
2010,,36,September 12,Shakira(feat.Freshlyground),September 10,Alejandro Sanz,Shakira,Alejandro Sanz
2010,,37,September 19,Shakira(feat.Freshlyground),September 17,Lady Gaga,Shakira,Lady Gaga
2010,,38,September 26,Shakira(feat.Freshlyground),September 24,Lady Gaga,Shakira,Lady Gaga
2010,,39,October 3,Eminem(feat.Rihanna),[77],Lady Gaga,Eminem,Lady Gaga
2010,,40,October 10,Eminem(feat.Rihanna),October 8,Lady Gaga,Eminem,Lady Gaga
2010,,41,October 17,Eminem(feat.Rihanna),October 15,Lady Gaga,Eminem,Lady Gaga
2010,,42,October 24,Shakira(feat.El Cata),[83],42,Shakira,42
2010,,43,October 31,Shakira(feat.El Cata),October 29,[86],Shakira,
2010,,44,November 7,Shakira(feat.El Cata),November 5,[88],Shakira,
2010,,45,November 14,Shakira(feat.El Cata),November 12,Juanes,Shakira,Juanes
2010,,46,November 21,Shakira(feat.El Cata),November 19,Juanes,Shakira,Juanes
2010,,47,November 28,Shakira(feat.El Cata),November 26,Shakira(feat. El Cata),Shakira,Shakira
2010,,48,December 5,Shakira(feat.El Cata),December 3,Melendi,Shakira,Melendi
2010,,49,December 12,Shakira(feat.El Cata),December 10,Shakira(feat. El Cata),Shakira,Shakira
2010,,50,December 19,Shakira(feat.El Cata),December 17,Shakira(feat. El Cata),Shakira,Shakira
2010,,51,December 26,Amaia Montero,[101],51,Amaia Montero,51
2010,,52,January 2,Shakira(feat. El Cata),[103],52,Shakira,52
2011,,Issue date,Artist(s),Song,Issue date,Artist(s),Song,Artist
2011,,1,January 9,Shakira(feat.El Cata),[1],1,Shakira,1
2011,,2,January 16,Shakira(feat.El Cata),January 14,Melendi,Shakira,Melendi
2011,,3,January 23,Shakira(feat.El Cata),January 21,Shakira(feat. El Cata),Shakira,Shakira
2011,,4,January 30,The Black Eyed Peas,[7],4,The Black Eyed Peas,4
2011,,5,February 6,The Black Eyed Peas,February 4,[10],The Black Eyed Peas,
2011,,6,February 13,Lady Gaga,[11],6,Lady Gaga,6
2011,,7,February 20,Lady Gaga,February 18,Michael Jackson(feat.Akon),Lady Gaga,Michael Jackson
2011,,8,February 27,Pablo Alborán,[15],8,Pablo Alborán,8
2011,,9,March 6,Pablo Alborán,March 4,[18],Pablo Alborán,
2011,,10,March 13,Jennifer Lopez(feat.Pitbull),[19],10,Jennifer Lopez,10
2011,,11,March 20,Jennifer Lopez(feat.Pitbull),March 18,Shakira,Jennifer Lopez,Shakira
2011,,12,March 27,Jennifer Lopez(feat.Pitbull),March 25,Malú,Jennifer Lopez,Malú
2011,,13,April 3,Jennifer Lopez(feat.Pitbull),April 1,Malú,Jennifer Lopez,Malú
