Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2011,,14,April 10,Jennifer Lopez(feat.Pitbull),April 8,Malú,Jennifer Lopez,Malú
2011,,15,April 17,Jennifer Lopez(feat.Pitbull),April 15,Lady Gaga,Jennifer Lopez,Lady Gaga
2011,,16,April 24,Jennifer Lopez(feat.Pitbull),April 22,Lady Gaga,Jennifer Lopez,Lady Gaga
2011,,17,May 1,Jennifer Lopez(feat.Pitbull),April 29,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,18,May 8,Jennifer Lopez(feat.Pitbull),May 6,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,19,May 15,Jennifer Lopez(feat.Pitbull),May 13,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,20,May 22,Jennifer Lopez(feat.Pitbull),May 20,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,21,May 29,Jennifer Lopez(feat.Pitbull),May 27,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,22,June 5,Jennifer Lopez(feat.Pitbull),June 3,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,23,June 12,Jennifer Lopez(feat.Pitbull),June 10,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,24,June 19,Jennifer Lopez(feat.Pitbull),June 17,Jennifer Lopez(feat.Pitbull),Jennifer Lopez,Jennifer Lopez
2011,,25,June 26,Shakira(feat. Pitbull),[49],Jennifer Lopez(feat.Pitbull),Shakira,Jennifer Lopez
2011,,26,July 3,Shakira(feat. Pitbull),July 1,Jennifer Lopez(feat.Pitbull),Shakira,Jennifer Lopez
2011,,27,July 10,Shakira(feat. Pitbull),July 8,"Pitbull(feat.Ne-Yo,AfrojackandNayer)",Shakira,Pitbull
2011,,28,July 17,Shakira(feat. Pitbull),July 15,Jennifer Lopez(feat. Pitbull),Shakira,Jennifer Lopez
2011,,29,July 24,Shakira(feat. Pitbull),July 22,LMFAO(feat.Lauren BennettandGoonRock),Shakira,LMFAO
2011,,30,July 31,Don Omar&Lucenzo,[59],30,Don Omar&Lucenzo,30
2011,,31,August 7,Don Omar&Lucenzo,August 5,[62],Don Omar&Lucenzo,
2011,,32,August 14,Don Omar&Lucenzo,August 12,LMFAO(feat. Lauren Bennett and GoonRock),Don Omar&Lucenzo,LMFAO
2011,,33,August 21,Don Omar&Lucenzo,August 19,"Pitbull(feat. Ne-Yo, Afrojack and Nayer)",Don Omar&Lucenzo,Pitbull
2011,,34,August 28,Don Omar&Lucenzo,August 26,"Pitbull(feat. Ne-Yo, Afrojack and Nayer)",Don Omar&Lucenzo,Pitbull
2011,,35,September 4,Don Omar&Lucenzo,September 2,"Pitbull(feat. Ne-Yo, Afrojack and Nayer)",Don Omar&Lucenzo,Pitbull
2011,,36,September 11,Don Omar&Lucenzo,September 9,"Pitbull(feat. Ne-Yo, Afrojack and Nayer)",Don Omar&Lucenzo,Pitbull
2011,,37,September 18,Don Omar&Lucenzo,September 16,"Pitbull(feat. Ne-Yo, Afrojack and Nayer)",Don Omar&Lucenzo,Pitbull
2011,,38,September 25,Don Omar&Lucenzo,September 23,Britney Spears,Don Omar&Lucenzo,Britney Spears
2011,,39,October 2,Pitbull(feat.Marc Anthony),[77],39,Pitbull,39
2011,,40,October 9,Pitbull(feat.Marc Anthony),October 7,Maroon 5(feat.Christina Aguilera),Pitbull,Maroon 5
2011,,41,October 16,Juan Magán(feat. Crossfire),[81],Maroon 5(feat.Christina Aguilera),Juan Magán,Maroon 5
2011,,42,October 23,Pitbull(feat. Marc Anthony),[83],42,Pitbull,42
2011,,43,October 30,Pitbull(feat. Marc Anthony),October 28,Maroon 5(feat. Christina Aguilera),Pitbull,Maroon 5
2011,,44,November 6,Pitbull(feat. Marc Anthony),November 4,Maroon 5(feat. Christina Aguilera),Pitbull,Maroon 5
2011,,45,November 13,Pablo Alborán(feat. Carminho),[89],Maroon 5(feat. Christina Aguilera),Pablo Alborán,Maroon 5
2011,,46,November 20,Pablo Alborán(feat. Carminho),November 18,Maroon 5(feat. Christina Aguilera),Pablo Alborán,Maroon 5
2011,,47,November 27,Michel Teló,[93],Maroon 5(feat. Christina Aguilera),Michel Teló,Maroon 5
2011,,48,December 4,Michel Teló,December 2,Enrique Iglesias(feat. Pitbull andThe WAV.s),Michel Teló,Enrique Iglesias
2011,,49,December 11,Michel Teló,December 9,Shakira,Michel Teló,Shakira
2011,,50,December 18,Michel Teló,December 16,Maroon 5(feat. Christina Aguilera),Michel Teló,Maroon 5
2011,,51,December 25,Michel Teló,December 23,Maroon 5(feat. Christina Aguilera),Michel Teló,Maroon 5
2011,,52,January 1,Michel Teló,December 30,Maroon 5(feat. Christina Aguilera),Michel Teló,Maroon 5
2012,,Issue date,Artist(s),Song,Issue date,Artist(s),Song,Artist
2012,,1,January 8,Michel Teló,[1],1,Michel Teló,1
2012,,2,January 15,Michel Teló,January 13,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,3,January 22,Michel Teló,January 20,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,4,January 29,Michel Teló,January 27,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,5,February 5,Michel Teló,February 3,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,6,February 12,Michel Teló,February 10,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,7,February 19,Michel Teló,February 17,Maroon 5(feat.Christina Aguilera),Michel Teló,Maroon 5
2012,,8,February 26,Michel Teló,February 24,Adele,Michel Teló,Adele
2012,,9,March 4,Michel Teló,March 2,Adele,Michel Teló,Adele
2012,,10,March 11,Michel Teló,March 9,Adele,Michel Teló,Adele
2012,,11,March 18,Cali y El Dandee,[21],Adele,Cali y El Dandee,Adele
2012,,12,March 25,Cali y El Dandee,March 23,Adele,Cali y El Dandee,Adele
2012,,13,April 1,Cali y El Dandee,March 30,Gym Class Heroes(feat.Adam Levine),Cali y El Dandee,Gym Class Heroes
2012,,14,April 8,Cali y El Dandee,April 6,Gym Class Heroes(feat.Adam Levine),Cali y El Dandee,Gym Class Heroes
2012,,15,April 15,Cali y El Dandee,April 13,Adele,Cali y El Dandee,Adele
2012,,16,April 22,Cali y El Dandee,April 20,Gym Class Heroes(feat. Adam Levine),Cali y El Dandee,Gym Class Heroes
2012,,17,April 29,Cali y El Dandee,April 27,Gym Class Heroes(feat. Adam Levine),Cali y El Dandee,Gym Class Heroes
2012,,18,May 6,Cali y El Dandee,May 4,Juanes,Cali y El Dandee,Juanes
2012,,19,May 13,Cali y El Dandee,May 11,Estopa,Cali y El Dandee,Estopa
2012,,20,May 20,Cali y El Dandee,May 18,Estopa,Cali y El Dandee,Estopa
2012,,21,May 27,Cali y El Dandee,May 25,Pablo Alborán,Cali y El Dandee,Pablo Alborán
2012,,22,June 3,Cali y El Dandee,June 1,Pablo Alborán,Cali y El Dandee,Pablo Alborán
2012,,23,June 10,Cali y El Dandee,June 8,Pablo Alborán,Cali y El Dandee,Pablo Alborán
2012,,24,June 17,Cali y El Dandee(feat.David Bisbal),[47],Pablo Alborán,Cali y El Dandee,Pablo Alborán
2012,,25,June 24,Cali y El Dandee,[49],Pablo Alborán,Cali y El Dandee,Pablo Alborán
2012,,26,July 1,Alejandro Sanz,[51],Pablo Alborán,Alejandro Sanz,Pablo Alborán
2012,,27,July 8,Cali & El Dandee(feat. David Bisbal),[53],Pablo Alborán,Cali & El Dandee,Pablo Alborán
2012,,28,July 15,Tacabro,[55],Pablo Alborán,Tacabro,Pablo Alborán
2012,,29,July 22,Tacabro,July 20,Maroon 5(feat.Wiz Khalifa),Tacabro,Maroon 5
2012,,30,July 29,Tacabro,July 27,Pablo Alborán,Tacabro,Pablo Alborán
2012,,31,August 5,Tacabro,August 3,Loreen,Tacabro,Loreen
2012,,32,August 12,Tacabro,August 10,Pablo Alborán,Tacabro,Pablo Alborán
2012,,33,August 19,Tacabro,August 17,Pablo Alborán,Tacabro,Pablo Alborán
2012,,34,August 26,Tacabro,August 24,Loreen,Tacabro,Loreen
2012,,35,September 2,Juan Magan(feat.Belinda),[69],Loreen,Juan Magan,Loreen
2012,,36,September 9,Juan Magan(feat.Belinda),September 7,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,37,September 16,Juan Magan(feat.Belinda),September 14,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,38,September 23,Juan Magan(feat.Belinda),September 21,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,39,September 30,Juan Magan(feat.Belinda),September 28,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,40,October 7,Juan Magan(feat.Belinda),October 5,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,41,October 14,Juan Magan(feat.Belinda),October 12,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,42,October 21,Robert Ramírez,[83],Gotye(feat.Kimbra),Robert Ramírez,Gotye
2012,,43,October 28,Juan Magan(feat. Belinda),[85],Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,44,November 4,Juan Magan(feat. Belinda),November 2,Gotye(feat.Kimbra),Juan Magan,Gotye
2012,,45,November 11,Juan Magan(feat. Belinda),November 9,Pablo Alborán,Juan Magan,Pablo Alborán
2012,,46,November 18,PSY,[91],46,PSY,46
2012,,47,November 25,PSY,November 23,Pablo Alborán,PSY,Pablo Alborán
2012,,48,December 2,PSY,November 30,Pablo Alborán,PSY,Pablo Alborán
2012,,49,December 9,PSY,December 7,Pablo Alborán,PSY,Pablo Alborán
2012,,50,December 16,PSY,December 14,Pablo Alborán,PSY,Pablo Alborán
2012,,51,December 23,PSY,December 21,Alicia Keys,PSY,Alicia Keys
2012,,52,December 30,PSY,December 28,Alicia Keys,PSY,Alicia Keys
2013,,Issue date,Artist(s),Song,Issue date,Artist(s),Song,Artist
2013,,1,January 6,PSY,[1],1,PSY,1
2013,,2,January 13,PSY,January 11,[4],PSY,
2013,,3,January 20,PSY,January 18,Alicia Keys,PSY,Alicia Keys
2013,,4,January 27,PSY,January 25,Rihanna,PSY,Rihanna
2013,,5,February 3,PSY,February 1,Rihanna,PSY,Rihanna
2013,,6,February 10,Pablo Alborán,[11],6,Pablo Alborán,6
2013,,7,February 17,Pablo Alborán,February 15,[14],Pablo Alborán,
2013,,8,February 24,will.i.am(feat.Britney Spears),[15],8,will.i.am,8
2013,,9,March 3,Malú(feat. Pablo Alborán),[17],9,Malú,9
2013,,10,March 10,Yandar & Yostin(feat.Andy Rivera),[19],10,Yandar & Yostin,10
2013,,11,March 17,Yandar & Yostin(feat.Andy Rivera),March 15,[22],Yandar & Yostin,
2013,,12,March 24,Pink,[23],12,Pink,12
2013,,13,March 31,Pink,March 29,[26],Pink,
2013,,14,April 7,Pink,April 5,[28],Pink,
2013,,15,April 14,Pitbull(feat.Christina Aguilera),[29],15,Pitbull,15
2013,,16,April 21,Pitbull(feat.Christina Aguilera),April 19,[32],Pitbull,
2013,,17,April 28,Pitbull(feat.Christina Aguilera),April 26,Bruno Mars,Pitbull,Bruno Mars
2013,,18,May 5,Pitbull(feat.Christina Aguilera),May 3,Melendi,Pitbull,Melendi
2013,,19,May 12,Pablo Alborán,[37],Melendi,Pablo Alborán,Melendi
2013,,20,May 19,Daft Punk(feat.Pharrell Williams),[39],Melendi,Daft Punk,Melendi
2013,,21,May 26,Daft Punk(feat.Pharrell Williams),May 24,Pink,Daft Punk,Pink
2013,,22,June 2,Daft Punk(feat.Pharrell Williams),May 31,Pink,Daft Punk,Pink
2013,,23,June 9,Dani Martín,[45],Pink,Dani Martín,Pink
2013,,24,June 16,Dani Martín,June 14,Dani Martín,Dani Martín,Dani Martín
2013,,25,June 23,Dani Martín,June 21,Dani Martín,Dani Martín,Dani Martín
2013,,26,June 30,Dani Martín,June 28,Dani Martín,Dani Martín,Dani Martín
2013,,27,July 7,Dani Martín,July 5,James Arthur,Dani Martín,James Arthur
2013,,28,July 14,Dani Martín,July 12,Dani Martín,Dani Martín,Dani Martín
2013,,29,July 21,Daft Punk(feat.Pharrell Williams),[57],Dani Martín,Daft Punk,Dani Martín
2013,,30,July 28,Daft Punk(feat.Pharrell Williams),July 26,Dani Martín,Daft Punk,Dani Martín
2013,,31,August 4,Daft Punk(feat.Pharrell Williams),August 2,Dani Martín,Daft Punk,Dani Martín
2013,,32,August 11,Robin Thicke(feat.T.I.andPharrell),[63],Dani Martín,Robin Thicke,Dani Martín
2013,,33,August 18,Lady Gaga,[65],Dani Martín,Lady Gaga,Dani Martín
2013,,34,August 25,Avicii,[67],Dani Martín,Avicii,Dani Martín
2013,,35,September 1,Avicii,August 30,Dani Martín,Avicii,Dani Martín
2013,,36,September 8,Avicii,September 6,Icona Pop,Avicii,Icona Pop
2013,,37,September 15,Avicii,September 13,Avicii,Avicii,Avicii
2013,,38,September 22,Avicii,September 20,Avicii,Avicii,Avicii
2013,,39,September 29,Avicii,September 27,Passenger,Avicii,Passenger
2013,,40,October 6,Avicii,October 4,Avicii,Avicii,Avicii
2013,,41,October 13,Avicii,October 11,Avicii,Avicii,Avicii
2013,,42,October 20,Por Ellas,[83],Avicii,Por Ellas,Avicii
2013,,43,October 27,Por Ellas,October 23,Avicii,Por Ellas,Avicii
2013,,44,November 3,Lady Gaga,[87],Avicii,Lady Gaga,Avicii
2013,,45,November 10,Lady Gaga,45,Avicii,Lady Gaga,Avicii
2013,,46,November 17,Miley Cyrus,[91],Avicii,Miley Cyrus,Avicii
2013,,47,November 24,One Direction,[93],47,One Direction,47
2013,,48,December 1,Miley Cyrus,[95],48,Miley Cyrus,48
2013,,49,December 8,Miley Cyrus,December 5,[98],Miley Cyrus,
2013,,50,December 15,Miley Cyrus,December 12,Miley Cyrus,Miley Cyrus,Miley Cyrus
2013,,51,December 22,Kiko Rivera,[101],Miley Cyrus,Kiko Rivera,Miley Cyrus
2013,,52,December 29,One Direction,[103],Miley Cyrus,One Direction,Miley Cyrus
2014,,Issue date,Artist(s),Song,Issue date,Artist(s),Song,Artist
2014,,1,January 5,Avicii,[1],1,Avicii,1
2014,,2,January 12,Avicii,January 10,Malú,Avicii,Malú
2014,,3,January 19,Enrique Iglesiasfeat.Romeo Santos,[5],3,Enrique Iglesiasfeat.Romeo Santos,3
2014,,4,January 26,David Bisbal,[7],4,David Bisbal,4
2014,,5,February 2,David Bisbal,January 31,Antonio Orozco,David Bisbal,Antonio Orozco
2014,,6,February 9,David Bisbal,February 7,Avicii,David Bisbal,Avicii
2014,,7,February 16,David Bisbal,February 14,Avicii,David Bisbal,Avicii
2014,,8,February 23,David Bisbal,February 21,Shakirafeat.Rihanna,David Bisbal,Shakirafeat.Rihanna
2014,,9,March 2,David Bisbal,February 28,Shakirafeat.Rihanna,David Bisbal,Shakirafeat.Rihanna
2014,,10,March 9,David Bisbal,March 7,Shakirafeat.Rihanna,David Bisbal,Shakirafeat.Rihanna
2014,,11,March 16,David Bisbal,March 14,Pharrell Williams,David Bisbal,Pharrell Williams
2014,,12,March 23,Pharrell Williams,[23],12,Pharrell Williams,12
2014,,13,March 30,Shakira,[25],13,Shakira,13
2014,,14,April 6,Pharrell Williams,[27],14,Pharrell Williams,14
2014,,15,April 13,Pharrell Williams,April 11,[30],Pharrell Williams,
2014,,16,April 20,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,[31],16,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,16
2014,,17,April 27,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,April 25,[34],Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,,18,May 4,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,May 2,[36],Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,,19,May 11,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,May 9,[38],Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,,20,May 18,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,May 16,[40],Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,,21,May 25,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,May 23,[42],Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,
2014,,22,June 1,Real Madridfeat.Redone,[43],22,Real Madridfeat.Redone,22
2014,,23,June 8,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,[45],23,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,23
2014,,24,June 15,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,June 13,[48],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,25,June 22,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,June 20,[50],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,26,June 29,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,June 27,[52],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,27,July 6,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,July 4,[54],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,28,July 13,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,July 11,[56],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,29,July 20,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,July 18,[58],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,30,July 27,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,July 25,[60],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,31,August 3,Auryn,[61],31,Auryn,31
2014,,32,August 10,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,[63],32,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,32
2014,,33,August 17,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,August 15,[66],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,34,August 24,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,August 22,[68],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,35,August 31,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,August 29,[70],Enrique Iglesias feat. Gente de Zona y Descemer Bueno,
2014,,36,September 7,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,September 5,Nico & Vinz,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,Nico & Vinz
2014,,37,September 14,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,September 12,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,Enrique Iglesias feat. Gente de Zona y Descemer Bueno
2014,,38,September 21,Pablo Alborán,[75],38,Pablo Alborán,38
2014,,39,September 28,Pablo Alborán,September 26,Lilly Wood & The PrickandRobin Schulz,Pablo Alborán,Lilly Wood & The PrickandRobin Schulz
2014,,40,October 5,Lilly Wood & The Prick and Robin Schulz,[79],40,Lilly Wood & The Prick and Robin Schulz,40
2014,,41,October 12,Pablo Alborán,[81],41,Pablo Alborán,41
2014,,42,October 19,Pablo López,[83],42,Pablo López,42
2014,,43,October 26,Juan Magánfeat.Belinda&Lapiz Conciente,[85],43,Juan Magánfeat.Belinda&Lapiz Conciente,43
2014,,44,November 2,Juan Magánfeat.Belinda&Lapiz Conciente,October 31,Sia,Juan Magánfeat.Belinda&Lapiz Conciente,Sia
2014,,45,November 9,Meghan Trainor,[89],Sia,Meghan Trainor,Sia
2014,,46,November 16,Meghan Trainor,November 14,Sia,Meghan Trainor,Sia
2014,,47,November 23,Band Aid 30,[93],Sia,Band Aid 30,Sia
2014,,48,November 30,David Guettafeat.Sam Martin,[95],48,David Guettafeat.Sam Martin,48
2014,,49,December 7,David Guettafeat.Sam Martin,December 5,[98],David Guettafeat.Sam Martin,
2014,,50,December 14,Meghan Trainor,[99],50,Meghan Trainor,50
2014,,51,December 21,David Guetta feat. Sam Martin,[101],51,David Guetta feat. Sam Martin,51
2014,,52,December 28,Meghan Trainor,[103],52,Meghan Trainor,52
2015,,Artist(s),Song,Ref.,Song,Ref.,Ref.,Ref.
2015,,1,January 4,David GuettafeaturingSam Martin,[2],Melendi,David GuettafeaturingSam Martin,Melendi
2015,,2,January 11,David GuettafeaturingSam Martin,"""Stay with Me""",[5],David GuettafeaturingSam Martin,
2015,,3,January 18,David GuettafeaturingSam Martin,"""Dangerous""",[7],David GuettafeaturingSam Martin,
2015,,4,January 25,Mark RonsonfeaturingBruno Mars,[8],Melendi,Mark RonsonfeaturingBruno Mars,Melendi
2015,,5,February 1,Mark RonsonfeaturingBruno Mars,"""Dangerous""",[11],Mark RonsonfeaturingBruno Mars,
2015,,6,February 8,Mark RonsonfeaturingBruno Mars,"""Lips Are Movin""",[13],Mark RonsonfeaturingBruno Mars,
2015,,7,February 15,Mark RonsonfeaturingBruno Mars,,,Mark RonsonfeaturingBruno Mars,
2015,,8,February 22,Ellie Goulding,"""Lips Are Movin""",[17],Ellie Goulding,
2015,,9,March 1,Ellie Goulding,"""Thinking Out Loud""",[19],Ellie Goulding,
2015,,10,March 8,Nicky Jam&Enrique Iglesias,"""Thinking Out Loud""",[21],Nicky Jam&Enrique Iglesias,
